 label     G     A     B     C     D     E    Gb    N1    N2    N3    N4    N5
    BH     x     x     x     x     x     x     x     o     o     o     o     o
    H1     x     x     x     x     x     x     o     o     o     o     o     o
    H2     x     x     x     x     x     o     o     o     o     o     o     o
    H3     x     x     x     x     o     o     o     o     o     o     o     o
    H4     x     x     x     o     o     o     o     o     o     o     o     o
    H5     x     x     o     o     o     o     o     o     o     o     o     o
    H6     x     o     o     o     o     o     o     o     o     o     o     o
    H7     o     o     o     o     o     o     o     o     o     o     o     o
    H8     o     o     o     o     o     o     o     o     o     o     o     o
    H9     o     o     o     o     o     o     o     o     o     o     o     o
   H10     o     o     o     o     o     o     o     o     o     o     o     o
   H11     o     o     o     o     o     o     o     o     o     o     o     o
