#Note:A; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
20 5.49471642e+0 -3.17713213e+1
22 4.77780649e+0 -2.91252218e+1
24 4.20470244e+0 -2.68901946e+1
26 3.73796792e+0 -2.49766772e+1
28 3.35184464e+0 -2.33194503e+1
30 3.02808221e+0 -2.18698758e+1
32 2.75342330e+0 -2.05909300e+1
34 2.51802854e+0 -1.94539251e+1
36 2.31445735e+0 -1.84362823e+1
38 2.13698967e+0 -1.75199854e+1
40 1.98116339e+0 -1.66904805e+1
42 1.84345193e+0 -1.59358817e+1
44 1.72103512e+0 -1.52463845e+1
46 1.61163362e+0 -1.46138291e+1
48 1.51338728e+0 -1.40313684e+1
50 1.42476459e+0 -1.34932140e+1
52 1.34449437e+0 -1.29944385e+1
54 1.27151366e+0 -1.25308213e+1
56 1.20492743e+0 -1.20987255e+1
58 1.14397727e+0 -1.16950006e+1
60 1.08801672e+0 -1.13169036e+1
62 1.03649171e+0 -1.09620347e+1
64 9.88924897e-1 -1.06282856e+1
66 9.44903065e-1 -1.03137964e+1
68 9.04066899e-1 -1.00169195e+1
70 8.66102630e-1 -9.73619095e+0
72 8.30735165e-1 -9.47030466e+0
74 7.97722412e-1 -9.21809216e+0
76 7.66850572e-1 -8.97850473e+0
78 7.37930188e-1 -8.75059845e+0
80 7.10792850e-1 -8.53352138e+0
82 6.85288398e-1 -8.32650262e+0
84 6.61282562e-1 -8.12884288e+0
86 6.38654956e-1 -7.93990630e+0
88 6.17297359e-1 -7.75911348e+0
90 5.97112247e-1 -7.58593525e+0
92 5.78011527e-1 -7.41988740e+0
94 5.59915446e-1 -7.26052597e+0
96 5.42751645e-1 -7.10744313e+0
98 5.26454337e-1 -6.96026359e+0
100 5.10963595e-1 -6.81864140e+0
102 4.96224722e-1 -6.68225715e+0
104 4.82187707e-1 -6.55081544e+0
106 4.68806740e-1 -6.42404270e+0
108 4.56039793e-1 -6.30168514e+0
110 4.43848240e-1 -6.18350708e+0
112 4.32196531e-1 -6.06928927e+0
114 4.21051895e-1 -5.95882754e+0
116 4.10384080e-1 -5.85193151e+0
118 4.00165119e-1 -5.74842341e+0
120 3.90369125e-1 -5.64813709e+0
122 3.80972102e-1 -5.55091707e+0
124 3.71951783e-1 -5.45661769e+0
126 3.63287474e-1 -5.36510235e+0
128 3.54959927e-1 -5.27624281e+0
130 3.46951214e-1 -5.18991855e+0
132 3.39244620e-1 -5.10601622e+0
134 3.31824542e-1 -5.02442910e+0
136 3.24676403e-1 -4.94505660e+0
138 3.17786569e-1 -4.86780387e+0
140 3.11142276e-1 -4.79258135e+0
142 3.04731562e-1 -4.71930444e+0
144 2.98543209e-1 -4.64789312e+0
146 2.92566684e-1 -4.57827169e+0
148 2.86792091e-1 -4.51036844e+0
150 2.81210123e-1 -4.44411542e+0
152 2.75812021e-1 -4.37944817e+0
154 2.70589535e-1 -4.31630553e+0
156 2.65534886e-1 -4.25462939e+0
158 2.60640740e-1 -4.19436453e+0
160 2.55900167e-1 -4.13545843e+0
162 2.51306625e-1 -4.07786111e+0
164 2.46853928e-1 -4.02152499e+0
166 2.42536220e-1 -3.96640470e+0
168 2.38347963e-1 -3.91245702e+0
170 2.34283907e-1 -3.85964070e+0
172 2.30339077e-1 -3.80791637e+0
174 2.26508753e-1 -3.75724643e+0
176 2.22788456e-1 -3.70759494e+0
178 2.19173935e-1 -3.65892756e+0
180 2.15661147e-1 -3.61121143e+0
182 2.12246252e-1 -3.56441508e+0
184 2.08925596e-1 -3.51850841e+0
186 2.05695699e-1 -3.47346256e+0
188 2.02553252e-1 -3.42924988e+0
190 1.99495100e-1 -3.38584383e+0
192 1.96518235e-1 -3.34321899e+0
194 1.93619791e-1 -3.30135091e+0
196 1.90797031e-1 -3.26021616e+0
198 1.88047345e-1 -3.21979218e+0
200 1.85368240e-1 -3.18005734e+0
202 1.82757333e-1 -3.14099079e+0
204 1.80212347e-1 -3.10257252e+0
206 1.77731107e-1 -3.06478323e+0
208 1.75311529e-1 -3.02760437e+0
210 1.72951622e-1 -2.99101806e+0
212 1.70649478e-1 -2.95500708e+0
