#Note:B; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
20 6.13195123e+0 -3.37701934e+1
22 5.33288045e+0 -3.09737266e+1
24 4.69404945e+0 -2.86099078e+1
26 4.17372406e+0 -2.65848639e+1
28 3.74320094e+0 -2.48301271e+1
30 3.38214991e+0 -2.32945722e+1
32 3.07580625e+0 -2.19392430e+1
34 2.81321317e+0 -2.07339280e+1
36 2.58608531e+0 -1.96548326e+1
38 2.38805291e+0 -1.86829575e+1
40 2.21414654e+0 -1.78029462e+1
42 2.06043811e+0 -1.70022505e+1
44 1.92378587e+0 -1.62705148e+1
46 1.80165013e+0 -1.55991168e+1
48 1.69195791e+0 -1.49808182e+1
50 1.59300219e+0 -1.44094975e+1
52 1.50336587e+0 -1.38799422e+1
54 1.42186377e+0 -1.33876855e+1
56 1.34749785e+0 -1.29288777e+1
58 1.27942226e+0 -1.25001825e+1
60 1.21691595e+0 -1.20986945e+1
62 1.15936082e+0 -1.17218713e+1
64 1.10622434e+0 -1.13674787e+1
66 1.05704546e+0 -1.10335449e+1
68 1.01142325e+0 -1.07183236e+1
70 9.69007562e-1 -1.04202619e+1
72 9.29491388e-1 -1.01379748e+1
74 8.92604539e-1 -9.87022267e+0
76 8.58108378e-1 -9.61589284e+0
78 8.25791433e-1 -9.37398362e+0
80 7.95465710e-1 -9.14359080e+0
82 7.66963578e-1 -8.92389607e+0
84 7.40135140e-1 -8.71415702e+0
86 7.14845990e-1 -8.51369852e+0
88 6.90975299e-1 -8.32190527e+0
90 6.68414176e-1 -8.13821527e+0
92 6.47064255e-1 -7.96211421e+0
94 6.26836479e-1 -7.79313046e+0
96 6.07650045e-1 -7.63083075e+0
98 5.89431485e-1 -7.47481635e+0
100 5.72113873e-1 -7.32471965e+0
102 5.55636121e-1 -7.18020120e+0
104 5.39942370e-1 -7.04094708e+0
106 5.24981456e-1 -6.90666650e+0
108 5.10706433e-1 -6.77708972e+0
110 4.97074156e-1 -6.65196620e+0
112 4.84044913e-1 -6.53106286e+0
114 4.71582094e-1 -6.41416265e+0
116 4.59651903e-1 -6.30106314e+0
118 4.48223096e-1 -6.19157533e+0
120 4.37266751e-1 -6.08552256e+0
122 4.26756057e-1 -5.98273949e+0
124 4.16666134e-1 -5.88307123e+0
126 4.06973861e-1 -5.78637251e+0
128 3.97657727e-1 -5.69250696e+0
130 3.88697699e-1 -5.60134642e+0
132 3.80075097e-1 -5.51277033e+0
134 3.71772486e-1 -5.42666519e+0
136 3.63773572e-1 -5.34292403e+0
138 3.56063117e-1 -5.26144596e+0
140 3.48626855e-1 -5.18213575e+0
142 3.41451416e-1 -5.10490340e+0
144 3.34524258e-1 -5.02966383e+0
146 3.27833606e-1 -4.95633652e+0
148 3.21368398e-1 -4.88484521e+0
150 3.15118229e-1 -4.81511764e+0
152 3.09073304e-1 -4.74708527e+0
154 3.03224399e-1 -4.68068304e+0
156 2.97562817e-1 -4.61584918e+0
158 2.92080352e-1 -4.55252496e+0
160 2.86769258e-1 -4.49065455e+0
162 2.81622215e-1 -4.43018481e+0
164 2.76632304e-1 -4.37106515e+0
166 2.71792976e-1 -4.31324737e+0
168 2.67098032e-1 -4.25668549e+0
170 2.62541600e-1 -4.20133570e+0
172 2.58118112e-1 -4.14715614e+0
174 2.53822288e-1 -4.09410687e+0
176 2.49649113e-1 -4.04214971e+0
178 2.45593829e-1 -3.99124816e+0
180 2.41651910e-1 -3.94136732e+0
182 2.37819057e-1 -3.89247379e+0
184 2.34091176e-1 -3.84453558e+0
186 2.30464373e-1 -3.79752207e+0
