#Note:C2; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
20 6.80932689e+0 -3.58519698e+1
22 5.92189218e+0 -3.28988303e+1
24 5.21257248e+0 -3.04006531e+1
26 4.63492243e+0 -2.82591768e+1
28 4.15701241e+0 -2.64025966e+1
30 3.75623844e+0 -2.47772165e+1
32 3.41619266e+0 -2.33420733e+1
34 3.12470446e+0 -2.20653691e+1
36 2.87257415e+0 -2.09220400e+1
38 2.65273119e+0 -1.98920602e+1
40 2.45966072e+0 -1.89592348e+1
42 2.28900421e+0 -1.81103232e+1
44 2.13727601e+0 -1.73343944e+1
46 2.00165852e+0 -1.66223429e+1
48 1.87985196e+0 -1.59665220e+1
50 1.76996250e+0 -1.53604630e+1
52 1.67041789e+0 -1.47986555e+1
54 1.57990310e+0 -1.42763764e+1
56 1.49731066e+0 -1.37895537e+1
58 1.42170193e+0 -1.33346579e+1
60 1.35227666e+0 -1.29086141e+1
62 1.28834886e+0 -1.25087314e+1
64 1.22932742e+0 -1.21326441e+1
66 1.17470055e+0 -1.17782645e+1
68 1.12402318e+0 -1.14437427e+1
70 1.07690659e+0 -1.11274337e+1
72 1.03300992e+0 -1.08278699e+1
74 9.92033187e-1 -1.05437377e+1
76 9.53711430e-1 -1.02738577e+1
78 9.17809837e-1 -1.00171680e+1
80 8.84119657e-1 -9.77270992e+0
82 8.52454750e-1 -9.53961571e+0
84 8.22648659e-1 -9.31709801e+0
86 7.94552128e-1 -9.10444073e+0
88 7.68030976e-1 -8.90099114e+0
90 7.42964276e-1 -8.70615300e+0
92 7.19242786e-1 -8.51938059e+0
94 6.96767604e-1 -8.34017345e+0
96 6.75448989e-1 -8.16807174e+0
98 6.55205349e-1 -8.00265226e+0
100 6.35962352e-1 -7.84352479e+0
102 6.17652152e-1 -7.69032901e+0
104 6.00212712e-1 -7.54273162e+0
106 5.83587202e-1 -7.40042387e+0
108 5.67723480e-1 -7.26311937e+0
110 5.52573626e-1 -7.13055203e+0
112 5.38093530e-1 -7.00247436e+0
114 5.24242529e-1 -6.87865582e+0
116 5.10983084e-1 -6.75888141e+0
118 4.98280489e-1 -6.64295039e+0
120 4.86102618e-1 -6.53067509e+0
122 4.74419691e-1 -6.42187987e+0
124 4.63204068e-1 -6.31640019e+0
126 4.52430067e-1 -6.21408171e+0
128 4.42073792e-1 -6.11477954e+0
130 4.32112989e-1 -6.01835751e+0
132 4.22526906e-1 -5.92468752e+0
134 4.13296173e-1 -5.83364897e+0
136 4.04402690e-1 -5.74512819e+0
138 3.95829529e-1 -5.65901798e+0
140 3.87560838e-1 -5.57521711e+0
142 3.79581765e-1 -5.49362997e+0
144 3.71878374e-1 -5.41416612e+0
146 3.64437584e-1 -5.33674000e+0
148 3.57247104e-1 -5.26127056e+0
150 3.50295371e-1 -5.18768099e+0
152 3.43571503e-1 -5.11589846e+0
154 3.37065251e-1 -5.04585382e+0
156 3.30766949e-1 -4.97748141e+0
158 3.24667481e-1 -4.91071883e+0
160 3.18758237e-1 -4.84550672e+0
162 3.13031085e-1 -4.78178862e+0
164 3.07478332e-1 -4.71951075e+0
166 3.02092702e-1 -4.65862188e+0
168 2.96867307e-1 -4.59907317e+0
170 2.91795617e-1 -4.54081802e+0
