#Note:C; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
20 3.89929251e+0 -2.55434851e+1
22 3.38669774e+0 -2.33801707e+1
24 2.97744544e+0 -2.15557313e+1
26 2.64451684e+0 -1.99956446e+1
28 2.36935260e+0 -1.86458138e+1
30 2.13882260e+0 -1.74660043e+1
32 1.94340162e+0 -1.64256612e+1
34 1.77602861e+0 -1.55011578e+1
36 1.63136969e+0 -1.46739329e+1
38 1.50532827e+0 -1.39291999e+1
40 1.39471148e+0 -1.32550319e+1
42 1.29699789e+0 -1.26417007e+1
44 1.21017258e+0 -1.20811916e+1
46 1.13260813e+0 -1.15668417e+1
48 1.06297726e+0 -1.10930653e+1
50 1.00018779e+0 -1.06551447e+1
52 9.43333707e-1 -1.02490675e+1
54 8.91657753e-1 -9.87139907e+0
56 8.44522637e-1 -9.51918226e+0
58 8.01388577e-1 -9.18985685e+0
60 7.61795670e-1 -8.88119500e+0
62 7.25349894e-1 -8.59124894e+0
64 6.91711928e-1 -8.31830813e+0
66 6.60588149e-1 -8.06086417e+0
68 6.31723324e-1 -7.81758170e+0
70 6.04894650e-1 -7.58727421e+0
72 5.79906856e-1 -7.36888380e+0
74 5.56588154e-1 -7.16146416e+0
76 5.34786881e-1 -6.96416618e+0
78 5.14368687e-1 -6.77622576e+0
80 4.95214185e-1 -6.59695335e+0
82 4.77216961e-1 -6.42572507e+0
84 4.60281892e-1 -6.26197500e+0
86 4.44323721e-1 -6.10518860e+0
88 4.29265832e-1 -5.95489696e+0
90 4.15039206e-1 -5.81067183e+0
92 4.01581523e-1 -5.67212124e+0
94 3.88836382e-1 -5.53888576e+0
96 3.76752634e-1 -5.41063510e+0
98 3.65283796e-1 -5.28706525e+0
100 3.54387543e-1 -5.16789584e+0
102 3.44025263e-1 -5.05286789e+0
104 3.34161672e-1 -4.94174175e+0
106 3.24764468e-1 -4.83429532e+0
108 3.15804033e-1 -4.73032246e+0
110 3.07253167e-1 -4.62963150e+0
112 2.99086854e-1 -4.53204404e+0
114 2.91282051e-1 -4.43739372e+0
116 2.83817506e-1 -4.34552525e+0
118 2.76673594e-1 -4.25629343e+0
120 2.69832166e-1 -4.16956236e+0
122 2.63276423e-1 -4.08520464e+0
124 2.56990793e-1 -4.00310070e+0
126 2.50960829e-1 -3.92313819e+0
128 2.45173116e-1 -3.84521140e+0
130 2.39615179e-1 -3.76922074e+0
132 2.34275414e-1 -3.69507231e+0
134 2.29143014e-1 -3.62267741e+0
136 2.24207907e-1 -3.55195219e+0
138 2.19460699e-1 -3.48281730e+0
140 2.14892626e-1 -3.41519753e+0
142 2.10495502e-1 -3.34902151e+0
144 2.06261681e-1 -3.28422148e+0
146 2.02184017e-1 -3.22073295e+0
148 1.98255830e-1 -3.15849456e+0
150 1.94470870e-1 -3.09744778e+0
152 1.90823296e-1 -3.03753673e+0
154 1.87307641e-1 -2.97870804e+0
156 1.83918797e-1 -2.92091060e+0
158 1.80651983e-1 -2.86409544e+0
160 1.77502734e-1 -2.80821558e+0
