#Note:E; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
20 4.36914287e+0 -2.72668078e+1
22 3.79665031e+0 -2.49725203e+1
24 3.33934754e+0 -2.30365834e+1
26 2.96717052e+0 -2.13804628e+1
28 2.65945390e+0 -1.99470832e+1
30 2.40156869e+0 -1.86939522e+1
32 2.18289667e+0 -1.75887726e+1
34 1.99556280e+0 -1.66065510e+1
36 1.83361577e+0 -1.57276398e+1
38 1.69248307e+0 -1.49363770e+1
40 1.56859966e+0 -1.42201231e+1
42 1.45914929e+0 -1.35685634e+1
44 1.36188082e+0 -1.29731967e+1
46 1.27497556e+0 -1.24269525e+1
48 1.19694983e+0 -1.19239013e+1
50 1.12658252e+0 -1.14590337e+1
52 1.06286040e+0 -1.10280875e+1
54 1.00493646e+0 -1.06274136e+1
56 9.52097724e-1 -1.02538693e+1
58 9.03740191e-1 -9.90473320e+0
60 8.59349158e-1 -9.57763660e+0
62 8.18483582e-1 -9.27050833e+0
64 7.80763587e-1 -8.98152917e+0
66 7.45860402e-1 -8.70909467e+0
68 7.13488202e-1 -8.45178427e+0
70 6.83397442e-1 -8.20833564e+0
72 6.55369379e-1 -7.97762321e+0
74 6.29211549e-1 -7.75864007e+0
76 6.04754011e-1 -7.55048274e+0
78 5.81846201e-1 -7.35233815e+0
80 5.60354304e-1 -7.16347260e+0
82 5.40159025e-1 -6.98322228e+0
84 5.21153714e-1 -6.81098511e+0
86 5.03242764e-1 -6.64621372e+0
88 4.86340242e-1 -6.48840936e+0
90 4.70368724e-1 -6.33711656e+0
92 4.55258285e-1 -6.19191858e+0
94 4.40945628e-1 -6.05243332e+0
96 4.27373337e-1 -5.91830981e+0
98 4.14489221e-1 -5.78922505e+0
100 4.02245742e-1 -5.66488133e+0
102 3.90599525e-1 -5.54500371e+0
104 3.79510912e-1 -5.42933795e+0
106 3.68943590e-1 -5.31764854e+0
108 3.58864247e-1 -5.20971700e+0
110 3.49242275e-1 -5.10534039e+0
112 3.40049511e-1 -5.00432990e+0
114 3.31260000e-1 -4.90650967e+0
116 3.22849786e-1 -4.81171566e+0
118 3.14796732e-1 -4.71979469e+0
120 3.07080350e-1 -4.63060351e+0
122 2.99681660e-1 -4.54400805e+0
124 2.92583048e-1 -4.45988264e+0
126 2.85768159e-1 -4.37810940e+0
128 2.79221779e-1 -4.29857759e+0
130 2.72929749e-1 -4.22118311e+0
132 2.66878872e-1 -4.14582797e+0
134 2.61056834e-1 -4.07241986e+0
136 2.55452141e-1 -4.00087174e+0
138 2.50054044e-1 -3.93110143e+0
140 2.44852491e-1 -3.86303130e+0
142 2.39838065e-1 -3.79658796e+0
144 2.35001942e-1 -3.73170190e+0
146 2.30335845e-1 -3.66830733e+0
148 2.25832005e-1 -3.60634183e+0
150 2.21483120e-1 -3.54574619e+0
152 2.17282329e-1 -3.48646418e+0
154 2.13223174e-1 -3.42844234e+0
156 2.09299576e-1 -3.37162983e+0
158 2.05505810e-1 -3.31597826e+0
160 2.01836477e-1 -3.26144151e+0
162 1.98286486e-1 -3.20797561e+0
164 1.94851033e-1 -3.15553861e+0
166 1.91525581e-1 -3.10409046e+0
168 1.88305847e-1 -3.05359286e+0
170 1.85187780e-1 -3.00400920e+0
172 1.82167552e-1 -2.95530444e+0
174 1.79241542e-1 -2.90744501e+0
176 1.76406326e-1 -2.86039874e+0
178 1.73658661e-1 -2.81413477e+0
180 1.70995479e-1 -2.76862348e+0
182 1.68413873e-1 -2.72383638e+0
184 1.65911094e-1 -2.67974613e+0
186 1.63484535e-1 -2.63632639e+0
188 1.61131728e-1 -2.59355180e+0
190 1.58850337e-1 -2.55139793e+0
192 1.56638149e-1 -2.50984121e+0
194 1.54493067e-1 -2.46885889e+0
