#Note:F; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
20 4.55885409e+0 -2.80450227e+1
22 3.96200045e+0 -2.56899658e+1
24 3.48517249e+0 -2.37024253e+1
26 3.09705808e+0 -2.20019432e+1
28 2.77613030e+0 -2.05300251e+1
30 2.50714794e+0 -1.92431087e+1
32 2.27904694e+0 -1.81080746e+1
34 2.08362059e+0 -1.70992874e+1
36 1.91466618e+0 -1.61965904e+1
38 1.76741758e+0 -1.53839132e+1
40 1.63815842e+0 -1.46482841e+1
42 1.52395263e+0 -1.39791164e+1
44 1.42245313e+0 -1.33676829e+1
46 1.33176354e+0 -1.28067244e+1
48 1.25033671e+0 -1.22901528e+1
50 1.17689920e+0 -1.18128238e+1
52 1.11039431e+0 -1.13703601e+1
54 1.04993862e+0 -1.09590140e+1
56 9.94788476e-1 -1.05755572e+1
58 9.44313868e-1 -1.02171941e+1
60 8.97977889e-1 -9.88149163e+0
62 8.55320450e-1 -9.56632172e+0
64 8.15945254e-1 -9.26981532e+0
66 7.79509307e-1 -8.99032388e+0
68 7.45714404e-1 -8.72638773e+0
70 7.14300180e-1 -8.47670976e+0
72 6.85038401e-1 -8.24013332e+0
74 6.57728245e-1 -8.01562369e+0
76 6.32192382e-1 -7.80225238e+0
78 6.08273697e-1 -7.59918383e+0
80 5.85832546e-1 -7.40566400e+0
82 5.64744437e-1 -7.22101069e+0
84 5.44898066e-1 -7.04460514e+0
86 5.26193650e-1 -6.87588481e+0
88 5.08541502e-1 -6.71433709e+0
90 4.91860808e-1 -6.55949394e+0
92 4.76078582e-1 -6.41092704e+0
94 4.61128753e-1 -6.26824375e+0
96 4.46951385e-1 -6.13108336e+0
98 4.33491992e-1 -5.99911400e+0
100 4.20700947e-1 -5.87202971e+0
102 4.08532962e-1 -5.74954802e+0
104 3.96946633e-1 -5.63140769e+0
106 3.85904040e-1 -5.51736676e+0
108 3.75370398e-1 -5.40720081e+0
110 3.65313744e-1 -5.30070136e+0
112 3.55704663e-1 -5.19767447e+0
114 3.46516044e-1 -5.09793955e+0
116 3.37722866e-1 -5.00132814e+0
118 3.29302000e-1 -4.90768295e+0
120 3.21232042e-1 -4.81685696e+0
122 3.13493157e-1 -4.72871252e+0
124 3.06066939e-1 -4.64312069e+0
126 2.98936291e-1 -4.55996050e+0
128 2.92085311e-1 -4.47911837e+0
130 2.85499192e-1 -4.40048752e+0
132 2.79164134e-1 -4.32396749e+0
134 2.73067259e-1 -4.24946367e+0
136 2.67196537e-1 -4.17688684e+0
138 2.61540722e-1 -4.10615285e+0
140 2.56089289e-1 -4.03718220e+0
142 2.50832380e-1 -3.96989976e+0
144 2.45760750e-1 -3.90423442e+0
146 2.40865727e-1 -3.84011888e+0
148 2.36139165e-1 -3.77748935e+0
150 2.31573407e-1 -3.71628534e+0
152 2.27161252e-1 -3.65644943e+0
154 2.22895922e-1 -3.59792708e+0
156 2.18771030e-1 -3.54066645e+0
158 2.14780556e-1 -3.48461821e+0
160 2.10918822e-1 -3.42973543e+0
162 2.07180468e-1 -3.37597336e+0
164 2.03560431e-1 -3.32328939e+0
166 2.00053926e-1 -3.27164282e+0
168 1.96656428e-1 -3.22099483e+0
170 1.93363657e-1 -3.17130832e+0
172 1.90171561e-1 -3.12254784e+0
174 1.87076300e-1 -3.07467946e+0
176 1.84074237e-1 -3.02767072e+0
178 1.81161926e-1 -2.98149052e+0
180 1.78336095e-1 -2.93610906e+0
182 1.75593641e-1 -2.89149775e+0
184 1.72931620e-1 -2.84762916e+0
186 1.70347235e-1 -2.80447695e+0
188 1.67837831e-1 -2.76201581e+0
190 1.65400885e-1 -2.72022141e+0
192 1.63033997e-1 -2.67907033e+0
194 1.60734890e-1 -2.63854003e+0
196 1.58501397e-1 -2.59860879e+0
198 1.56331457e-1 -2.55925569e+0
200 1.54223111e-1 -2.52046052e+0
202 1.52174496e-1 -2.48220381e+0
204 1.50183840e-1 -2.44446672e+0
206 1.48249457e-1 -2.40723106e+0
208 1.46369745e-1 -2.37047924e+0
210 1.44543180e-1 -2.33419423e+0
212 1.42768314e-1 -2.29835953e+0
214 1.41043770e-1 -2.26295916e+0
216 1.39368239e-1 -2.22797761e+0
218 1.37740481e-1 -2.19339985e+0
220 1.36159314e-1 -2.15921125e+0
222 1.34623622e-1 -2.12539762e+0
224 1.33132343e-1 -2.09194513e+0
226 1.31684473e-1 -2.05884034e+0
228 1.30279062e-1 -2.02607014e+0
230 1.28915211e-1 -1.99362175e+0
232 1.27592073e-1 -1.96148271e+0
234 1.26308848e-1 -1.92964083e+0
236 1.25064783e-1 -1.89808422e+0
238 1.23859174e-1 -1.86680122e+0
240 1.22691359e-1 -1.83578043e+0
242 1.21560720e-1 -1.80501067e+0
