#Note:G; Temperature:25°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
20 4.94902409e+0 -2.96757595e+1
22 4.30215309e+0 -2.71926653e+1
24 3.78521457e+0 -2.50964047e+1
26 3.36434424e+0 -2.33024542e+1
28 3.01625236e+0 -2.17493238e+1
30 2.72444433e+0 -2.03911944e+1
32 2.47694264e+0 -1.91932143e+1
34 2.26486062e+0 -1.81283954e+1
36 2.08148002e+0 -1.71755092e+1
38 1.92163739e+0 -1.63176253e+1
40 1.78130574e+0 -1.55410733e+1
42 1.65730301e+0 -1.48346932e+1
44 1.54708506e+0 -1.41892831e+1
46 1.44859594e+0 -1.35971869e+1
48 1.36015811e+0 -1.30519825e+1
50 1.28039061e+0 -1.25482420e+1
52 1.20814738e+0 -1.20813466e+1
54 1.14247018e+0 -1.16473403e+1
56 1.08255228e+0 -1.12428156e+1
58 1.02771017e+0 -1.08648211e+1
60 9.77361292e-1 -1.05107875e+1
62 9.31006380e-1 -1.01784677e+1
64 8.88215367e-1 -9.86588760e+0
66 8.48615992e-1 -9.57130606e+0
68 8.11884581e-1 -9.29318115e+0
70 7.77738508e-1 -9.03014254e+0
72 7.45930007e-1 -8.78096822e+0
74 7.16241054e-1 -8.54456492e+0
76 6.88479113e-1 -8.31995154e+0
78 6.62473589e-1 -8.10624513e+0
80 6.38072843e-1 -7.90264884e+0
82 6.15141681e-1 -7.70844172e+0
84 5.93559223e-1 -7.52296980e+0
86 5.73217094e-1 -7.34563855e+0
88 5.54017876e-1 -7.17590621e+0
90 5.35873788e-1 -7.01327804e+0
92 5.18705541e-1 -6.85730137e+0
94 5.02441356e-1 -6.70756118e+0
96 4.87016114e-1 -6.56367624e+0
98 4.72370613e-1 -6.42529575e+0
100 4.58450928e-1 -6.29209638e+0
102 4.45207843e-1 -6.16377958e+0
104 4.32596360e-1 -6.04006926e+0
106 4.20575265e-1 -5.92070972e+0
108 4.09106747e-1 -5.80546382e+0
110 3.98156060e-1 -5.69411126e+0
112 3.87691225e-1 -5.58644716e+0
114 3.77682766e-1 -5.48228069e+0
116 3.68103472e-1 -5.38143394e+0
118 3.58928193e-1 -5.28374076e+0
120 3.50133647e-1 -5.18904587e+0
122 3.41698258e-1 -5.09720395e+0
124 3.33602001e-1 -5.00807885e+0
126 3.25826274e-1 -4.92154290e+0
128 3.18353769e-1 -4.83747621e+0
130 3.11168372e-1 -4.75576614e+0
132 3.04255056e-1 -4.67630670e+0
134 2.97599799e-1 -4.59899812e+0
136 2.91189500e-1 -4.52374635e+0
138 2.85011908e-1 -4.45046268e+0
140 2.79055553e-1 -4.37906335e+0
142 2.73309689e-1 -4.30946924e+0
144 2.67764239e-1 -4.24160548e+0
146 2.62409742e-1 -4.17540125e+0
148 2.57237310e-1 -4.11078946e+0
150 2.52238588e-1 -4.04770649e+0
152 2.47405710e-1 -3.98609202e+0
154 2.42731273e-1 -3.92588876e+0
156 2.38208294e-1 -3.86704231e+0
158 2.33830192e-1 -3.80950093e+0
160 2.29590752e-1 -3.75321543e+0
162 2.25484104e-1 -3.69813896e+0
164 2.21504702e-1 -3.64422690e+0
166 2.17647297e-1 -3.59143672e+0
168 2.13906924e-1 -3.53972786e+0
170 2.10278881e-1 -3.48906162e+0
172 2.06758711e-1 -3.43940103e+0
174 2.03342188e-1 -3.39071078e+0
176 2.00025304e-1 -3.34295711e+0
178 1.96804255e-1 -3.29610773e+0
180 1.93675425e-1 -3.25013172e+0
182 1.90635380e-1 -3.20499950e+0
184 1.87680857e-1 -3.16068270e+0
186 1.84808749e-1 -3.11715414e+0
188 1.82016101e-1 -3.07438776e+0
190 1.79300098e-1 -3.03235852e+0
192 1.76658061e-1 -2.99104241e+0
194 1.74087435e-1 -2.95041636e+0
196 1.71585785e-1 -2.91045818e+0
198 1.69150788e-1 -2.87114656e+0
200 1.66780229e-1 -2.83246098e+0
202 1.64471993e-1 -2.79438169e+0
204 1.62224060e-1 -2.75688970e+0
206 1.60034502e-1 -2.71996667e+0
208 1.57901476e-1 -2.68359496e+0
210 1.55823220e-1 -2.64775754e+0
212 1.53798051e-1 -2.61243799e+0
